Ier_ID,Parks,TranspVeids,GarNr,MarsrNos,TMarsruts,Virziens,Laiks,ValidTalonaId
420129,1 parks,Trolejbuss,19879,Pļavnieki - Šmerlis,Tr 16,Forth,23.11.2018 12:52:15,16
420130,7 parks,Autobuss,76778,Abrenes iela - Pļavnieku kapi,A 52,Back,23.11.2018 13:14:12,16
420131,5 parks,Tramvajs,57103,Imanta - Jugla,Tm 1,Forth,23.11.2018 14:13:58,16
420132,5 parks,Tramvajs,57201,Imanta - Jugla,Tm 1,Forth,23.11.2018 14:38:44,16
420133,7 parks,Autobuss,76560,Jugla 3 - Ziepniekkalns,A 40,Back,23.11.2018 16:59:54,16
420134,7 parks,Autobuss,77001,Abrenes iela - Zvēraudzētava,A 14,Forth,23.11.2018 17:30:23,16
460665,7 parks,Autobuss,77228,Abrenes iela - Mārupe,A 25,Back,23.11.2018 08:22:53,25
460666,6 parks,Autobuss,69690,Imanta 5 - Jugla 3,A 21,Forth,23.11.2018 08:33:55,25
460667,7 parks,Autobuss,79142,Jugla 3 - Ziepniekkalns,A 40,Back,23.11.2018 08:45:10,25
460668,6 parks,Autobuss,69298,Daugavgrīva - Pļavnieki,A 3,Back,23.11.2018 08:51:43,25
460669,7 parks,Autobuss,78027,Imanta 5 - Jugla 3,A 21,Back,23.11.2018 09:07:10,25
460670,2 parks,Trolejbuss,29440,Stacijas laukums - Iļģuciems,Tr 9,Forth,23.11.2018 09:09:34,25
460671,6 parks,Autobuss,69221,Daugavgrīva - Pļavnieki,A 3,Forth,23.11.2018 09:13:49,25
